CBG,x,y,color,TOWN,COUNTY,Bos_Neighborhood
250173683005,5.0968375,0.6420234,#fdb462,Waltham,Middlesex,
250173334005,-1.6468451,-0.6618099,#fdb462,Woburn,Middlesex,
250251604002,-1.3108025,-6.089708,#662506,Chelsea,Suffolk,
250251105021,9.966965,2.3443205,#662506,Boston,Suffolk,Roslindale
250173612003,1.634507,3.1369026,#fdb462,,,
250250007032,8.512558,-1.1079899,#662506,Boston,Suffolk,Allston
250173301002,-2.7421153,0.20753106,#fdb462,,,
330150670004,-4.151063,11.005471,#a6cee3,,,
250214173001,12.618605,4.4602323,#7fc97f,Quincy,Norfolk,
250235241011,14.42704,9.392751,#ef3b2c,Bridgewater,Plymouth,
250092544021,-6.9159555,9.176104,#386cb0,Methuen,Essex,
250173117001,-1.022356,2.387095,#fdb462,Lowell,Middlesex,
250235103001,15.193134,7.992114,#ef3b2c,Brockton,Plymouth,
250173334003,-1.3782716,-0.5729332,#fdb462,Woburn,Middlesex,
250173563006,0.6983676,-1.0058273,#fdb462,,,
250092051003,-4.9642763,-2.7610896,#386cb0,Lynn,Essex,
250173537003,4.2371054,-2.347286,#fdb462,Cambridge,Middlesex,
250214182004,12.39189,4.4757056,#7fc97f,Randolph,Norfolk,
250173155006,-1.9329581,0.99641526,#fdb462,,,
250214143001,14.278452,6.419349,#7fc97f,,,
250173397001,1.5736287,-3.5446882,#fdb462,Somerville,Middlesex,
250173732004,6.2169194,0.51030916,#fdb462,Newton,Middlesex,
250250921013,12.676276,2.2297266,#662506,Boston,Suffolk,Dorchester
250092113003,-6.34304,-0.85836834,#386cb0,,,
250092022004,-5.6012874,-2.7709374,#386cb0,Lynn,Essex,
250173114001,-0.9633185,2.5346062,#fdb462,Lowell,Middlesex,
250235305001,12.915353,10.936904,#ef3b2c,,,
250092109003,-5.9302993,-1.5458454,#386cb0,Peabody,Essex,
250092604022,-5.716529,9.455676,#386cb0,Methuen,Essex,
250092542001,-7.0140305,8.179302,#386cb0,,,
250173353022,-3.1229024,-1.3883315,#fdb462,,,
250250506001,-2.446827,-7.0791793,#662506,Boston,Suffolk,East Boston
250214034005,6.578652,2.5539882,#7fc97f,,,
250214194001,12.365847,6.7435346,#7fc97f,Braintree,Norfolk,
250251201031,10.26817,1.3552125,#662506,Boston,Suffolk,Jamaica Plain
250250804012,11.782854,0.68072814,#662506,Boston,Suffolk,Roxbury
250173521022,3.499718,-3.6841252,#fdb462,Cambridge,Middlesex,
250251401052,10.688398,2.2878563,#662506,Boston,Suffolk,Hyde Park
250173165004,-1.118841,1.105488,#fdb462,,,
250251302003,9.439608,2.3743565,#662506,Boston,Suffolk,West Roxbury
250173703006,5.448309,-1.0304925,#fdb462,Watertown,Middlesex,
250250401001,3.6475863,-4.8739834,#662506,Boston,Suffolk,Charlestown
250173121003,-1.6859268,2.202633,#fdb462,Lowell,Middlesex,
250092058003,-4.396424,-3.046648,#386cb0,Lynn,Essex,
250250809003,10.620356,0.08400426,#662506,Boston,Suffolk,Mission Hill
250250910012,12.967374,1.3375751,#662506,Boston,Suffolk,Dorchester
250173593001,-0.25816876,0.48255897,#fdb462,,,
250235252033,14.250806,9.694718,#ef3b2c,Bridgewater,Plymouth,
250214178015,12.608493,5.1735888,#7fc97f,Quincy,Norfolk,
250214112002,9.04846,4.6649876,#7fc97f,,,
250235452004,14.151965,12.016969,#ef3b2c,,,
250214009001,9.117431,-0.093563184,#7fc97f,Boston,Suffolk,Jamaica Plain
250092505003,-7.547594,9.413086,#386cb0,Lawrence,Essex,
250092108003,-5.775697,-1.3907843,#386cb0,Peabody,Essex,
250173509002,2.9726722,-2.9172287,#fdb462,Cambridge,Middlesex,
250214179012,12.499751,5.620141,#7fc97f,Braintree,Norfolk,
250214132002,9.352536,4.3437843,#7fc97f,,,
330150670002,-4.090799,11.028875,#a6cee3,,,
250214007002,8.941689,-0.16969395,#7fc97f,,,
250092541001,-6.9383297,8.253539,#386cb0,,,
250173530004,4.0409985,-3.1873765,#fdb462,Cambridge,Middlesex,
250092517004,-7.5274,9.0032425,#386cb0,Lawrence,Essex,
250092045003,-6.3354516,-1.9597213,#386cb0,Salem,Essex,
250173837002,5.0965066,3.7391312,#fdb462,Framingham,Middlesex,
250173106021,-1.3244542,2.889859,#fdb462,Lowell,Middlesex,
250173641011,1.7638837,3.1854432,#fdb462,,,
250092172021,-6.8679986,-0.9653166,#386cb0,Beverly,Essex,
250173335022,-1.5745127,-0.4471895,#fdb462,Woburn,Middlesex,
250173342002,-2.661871,-0.4367025,#fdb462,,,
250235117012,15.661555,8.422771,#ef3b2c,Brockton,Plymouth,
250173201043,5.911697,4.3668427,#fdb462,,,
250250002013,7.7547803,-0.98318017,#662506,Boston,Suffolk,Brighton
330150590003,-4.4343944,11.0433235,#a6cee3,,,
250173831011,5.3535824,4.141649,#fdb462,Framingham,Middlesex,
250173741003,6.88404,1.3354682,#fdb462,Newton,Middlesex,
250235453004,14.194168,11.9681635,#ef3b2c,,,
250173322002,-1.1371734,0.32399672,#fdb462,Woburn,Middlesex,
250092521023,-6.908686,9.346822,#386cb0,Methuen,Essex,
250173165003,-1.0862851,1.1025774,#fdb462,,,
250173738001,6.81773,1.105755,#fdb462,Newton,Middlesex,
