taxonomy,barrier_visit_size,barrier_visit_portion,non_barrier_visit_size,non_barrier_visit_portion,aca_size,barrier_visits_relative_difference,area,area_code
Shopping,44766,0.15997055449740744,633720,0.1559943433219568,678486,0.025489457442980028,Chicago,16980
Coffee / Tea,9672,0.034562730713017124,139740,0.0343979194846466,149412,0.004791313859667811,Chicago,16980
Financial Service,12851,0.0459228342010942,189151,0.04656076190382417,202002,-0.013700972162948499,Chicago,16980
Entertainment,9988,0.03569195144350859,147087,0.036206431825090986,157075,-0.01420964054308885,Chicago,16980
Food,53812,0.1922962846493877,801852,0.19738114022186093,855664,-0.025761608058184993,Chicago,16980
Personal Care Service,17767,0.06349007822354998,265061,0.06524650734592752,282828,-0.02691989493116022,Chicago,16980
Automotive Service,18013,0.06436915512133763,273151,0.06723791401997069,291164,-0.042665792662470024,Chicago,16980
Public Administration,4738,0.01693116399072324,86860,0.021381159914386744,91598,-0.2081269651170438,Chicago,16980
Sports,10282,0.03674255554086457,190218,0.04682341096701379,200500,-0.21529519567147706,Chicago,16980
Agriculture,12,4.2881799892080806e-05,223,5.489291573691278e-05,235,-0.21880994448169003,Chicago,16980
Health,1415,0.005056478903941195,27683,0.006814352405134334,29098,-0.2579663329223557,Chicago,16980
College,3623,0.012946730084084063,71445,0.01758665634450105,75068,-0.2638322015013267,Chicago,16980
Industry,8960,0.032018410586087,193807,0.04770686690683343,202767,-0.3288511138529461,Chicago,16980
Neighborhood Service,2727,0.009744889025475363,62380,0.015355247011966902,65107,-0.3653707414878565,Chicago,16980
Service,9248,0.03512530100347151,127914,0.02818179875374734,137162,0.24638250774538986,Los Angeles,31080
Transportation,26345,0.10006228967738505,364826,0.08037785474721006,391171,0.2448987347582606,Los Angeles,31080
Automotive Service,20798,0.07899394574721026,297697,0.065588105630301,318495,0.20439437895147727,Los Angeles,31080
Agriculture,32,0.00012154083392204675,477,0.00010509184300027739,509,0.15652014896842134,Los Angeles,31080
School,803,0.0030499153012313604,12521,0.002758605799174996,13324,0.10560026450444097,Los Angeles,31080
Food,58024,0.22038391710915126,979830,0.21587450844226788,1037854,0.020889028072016858,Los Angeles,31080
Shopping,42503,0.16143281450589853,722182,0.15910993157573652,764685,0.01459923278928887,Los Angeles,31080
Public Administration,4831,0.018348867771168995,82333,0.01813946899316947,87164,0.01154382071924905,Los Angeles,31080
Grocery,15343,0.05827503171456135,264221,0.05821272924397545,279564,0.0010702551039101396,Los Angeles,31080
City / Outdoors,3300,0.012533898498211071,57683,0.012708622179842768,60983,-0.013748436231649688,Los Angeles,31080
Financial Service,13249,0.05032170339478742,239169,0.05269331446233405,252418,-0.04500781724865481,Los Angeles,31080
Personal Care Service,18455,0.0700948778134804,337858,0.07443631004693442,356313,-0.058324119380939454,Los Angeles,31080
Office,10352,0.03931845977378212,193288,0.04258488920301386,203640,-0.07670395509683671,Los Angeles,31080
Coffee / Tea,10098,0.038353729404525874,192130,0.04232976057786854,202228,-0.09392992351157949,Los Angeles,31080
Neighborhood Service,2483,0.009430809082138815,52302,0.011523089250734817,54785,-0.18157285108787813,Los Angeles,31080
Arts / Museum,689,0.002616926080384069,14588,0.003214003785509531,15277,-0.18577380269973903,Los Angeles,31080
Entertainment,5206,0.01977317441869298,110358,0.024313890167347193,115564,-0.18675397961418178,Los Angeles,31080
